API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Sep 21 19:49:13 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Hubble Space Telescope (spacecraft) (-48) {source: hst}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2003-Feb-02 06:00:00.0000 TDB
Stop  time      : A.D. 2003-Feb-02 14:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2452672.792361111, A.D. 2003-Feb-02 07:01:00.0000, -6.702412052970750E-01,  6.572556872264799E-01,  2.849720881204330E-01, -1.130747152983002E-02, -1.472996780141330E-02, -3.480469363889106E-03,
2452672.793055556, A.D. 2003-Feb-02 07:02:00.0000, -6.702489697809553E-01,  6.572454832632818E-01,  2.849696318030395E-01, -1.105546805118175E-02, -1.465464705424536E-02, -3.594562034729958E-03,
2452672.793750000, A.D. 2003-Feb-02 07:03:00.0000, -6.702565618906896E-01,  6.572353373316386E-01,  2.849670945877955E-01, -1.081121267887549E-02, -1.456289777399765E-02, -3.713370290026459E-03,
2452672.794444445, A.D. 2003-Feb-02 07:04:00.0000, -6.702639873727603E-01,  6.572252607077609E-01,  2.849644733761523E-01, -1.057575293046619E-02, -1.445511322065094E-02, -3.836383638842645E-03,
2452672.795138889, A.D. 2003-Feb-02 07:05:00.0000, -6.702712526881770E-01,  6.572152643707281E-01,  2.849617654304811E-01, -1.035009841859776E-02, -1.433175552490229E-02, -3.963073521834137E-03,
2452672.795833333, A.D. 2003-Feb-02 07:06:00.0000, -6.702783649846438E-01,  6.572053589553493E-01,  2.849589683858282E-01, -1.013521654019946E-02, -1.419335366456842E-02, -4.092895596647030E-03,
2452672.796527778, A.D. 2003-Feb-02 07:07:00.0000, -6.702853320657994E-01,  6.571955547065274E-01,  2.849560802600606E-01, -9.932028354621847E-03, -1.404050116306655E-02, -4.225292084717752E-03,
2452672.797222222, A.D. 2003-Feb-02 07:08:00.0000, -6.702921623576641E-01,  6.571858614353138E-01,  2.849530994623625E-01, -9.741404665395654E-03, -1.387385352130211E-02, -4.359694169691295E-03,
2452672.797916667, A.D. 2003-Feb-02 07:09:00.0000, -6.702988648724428E-01,  6.571762884768375E-01,  2.849500248000526E-01, -9.564162319286839E-03, -1.369412539476380E-02, -4.495524437804130E-03,
2452672.798611111, A.D. 2003-Feb-02 07:10:00.0000, -6.703054491698380E-01,  6.571668446502784E-01,  2.849468554836941E-01, -9.401060735415976E-03, -1.350208752802220E-02, -4.632199350706407E-03,
