ra,dec,helio_dist
201.83355933185373,-7.6882365251837665,67.33203452977665
198.42844503217728,-8.06974171601502,63.79084693168088
206.3834998840489,-7.533722540933222,57.25168399962399
198.9808940543858,-12.597980488857578,72.77480279842148
212.0445156735038,-13.300547192097243,53.930364810161464
208.30115609932153,-1.9230923048614912,52.275346148494464
203.2261447866658,-11.057581125891996,65.95051056652177
205.50125954307816,-13.769226409273713,57.435951219233594
205.1173911821902,-10.564030540113128,59.54379231887771
198.91389197072272,-8.309348929557656,50.31168590654926
209.15241212496903,-1.7717758976906477,61.24920899990702
206.51988603217006,-9.94639204557266,79.82855459407556
209.49744909071651,-9.88626433367073,44.47902248858362
214.09147297008113,-15.698814771481233,45.33519776665184
211.80470997681576,-6.718580102785754,62.10410975874373
209.11458879037778,-19.509985259774666,53.097026545447385
217.11971343917423,-6.597818715435807,52.259982079471584
211.5392106083567,-10.451591204321053,76.48193419803525
200.2269725533038,-16.046904558910835,65.95387435267976
216.3005044325381,-13.990318601563944,52.433634948316026
211.73154626917164,-18.715068762811466,74.26225226084875
205.55850244050467,-12.778493572229262,48.879727192500965
201.54532497125896,-4.210179790551912,57.68246170939998
210.39019686971338,-20.642561870826253,53.14975699262388
204.3742851927271,-16.645649953121293,62.72712484887879
214.01621262340572,-9.907047345992474,50.45356398648887
209.89225436119102,-12.911286734945156,66.68217545082922
208.11719579609604,-6.427188249926648,49.512265024704874
207.73465925349117,-13.368389574549985,45.321180166007245
216.28902965761583,-9.525985838494579,61.60498446871427
212.98968337893479,-4.820499316900107,65.86126961576097
210.6832847016652,-16.409365002560968,50.46293240062603
206.66036757387423,-18.086659233810018,53.90933689710966
200.0197187790511,-9.097650525886275,66.73041044400141
206.88913406535278,-9.219911330059947,77.11328875352103
206.6269017846009,-17.648898837854812,77.95978872268513
215.14115685430934,-16.25589091922322,57.23781006444139
209.79917420867068,-14.619026111643414,69.30339129489849
205.32167563609408,-15.663812551351546,67.57397879346541
209.6511078899911,-13.894935823990977,43.25992644018925
208.88666937736184,-5.869378629715233,61.00774393551229
202.78590934263016,-3.5215614308534837,61.317593268953786
210.0660926894659,-10.43379926452351,49.30773742633542
204.69477733502805,-15.314066121748438,60.96239839225363
212.42499986289025,-18.39505898053662,69.53981466359336
203.87895802262037,-15.079586200738092,45.96535186305231
209.3360959998774,-6.887904708818301,69.56540261048904
208.44626028475335,-1.6902485510581353,54.613927507351725
211.56331043162695,-5.664237530706113,65.11831975478415
211.40892391196965,-3.717934552340764,53.78315486998779
204.12315464333864,-9.019102073813476,61.27153821794814
207.63765076391215,-17.360635159658358,65.15385354840102
217.53532270537696,-8.260229073774326,69.23437303124271
199.58385084295804,-14.698458580834767,65.53863945236122
202.57558446542194,-15.609210160777966,38.13393101972249
211.0411881223129,-7.885521623855421,31.63609345140866
205.44677780117487,-5.583928770351043,35.93202349592867
204.7352225967878,-18.403606351685685,38.599776991992776
207.26171442042485,-5.613982757127018,32.97275850074497
209.08750249187986,-7.218493110983868,35.3761062807506
210.35417600387893,-14.382245361393139,38.358699806382894
205.62121110777483,-5.988417289191408,32.544296873987065
213.9456674151317,-17.591457060964167,32.15589580086875
209.72055341406661,-4.606896227138945,39.763085041038366
200.37682519694107,-7.197273296793086,37.280490315385705
202.4490114893705,-14.522153718518165,33.47475223274695
213.26570085038065,-14.172887424356132,32.499850133171655
207.2658108100954,-6.109794346117996,38.745227772345736
206.60566387510798,-16.961014393779738,37.96396596455285
199.41873385294832,-15.573726397732983,36.88155748164133
212.50035721700806,-4.245803933795256,31.731704967356908
207.62102716979902,-10.64551357121699,33.96451760968805
201.13967893744808,-4.236672187934481,44.36498203072156
208.14339380597275,-18.79754589659626,41.62605014647394
210.16089066671282,-11.249391475777397,44.504867171722836
206.56748424478175,-20.40637053292372,40.534802332625006
199.46839853342203,-11.846405501265764,46.31314743227746
203.144281403384,-16.981516320057228,41.433406877903884
204.47707871617018,-9.10955550770185,43.241160301698535
198.60205859773652,-12.835994624242353,45.719764567638435
204.30104682062563,-1.7854727994776,47.7155361031618
211.41536498656473,-19.80933912812461,49.74345446900273
200.05750629602906,-12.87946033025714,43.099681776193236
199.4143228177622,-7.004767692677694,45.65075217505774
200.07431052052732,-6.197007678925604,47.083735219655985
202.73237157512693,-10.257641049168726,45.67499091922791
208.4845962786065,-8.422367092815191,47.95886746893919
207.64589457334768,-6.055584621784983,45.56391150161412
202.12981318163222,-8.998306056682543,47.2595487732871
204.32547662205647,-18.659794952837935,45.54331081263534
204.96653348107503,-11.00081294583543,43.003607854133435
215.2349330407775,-10.684222793703167,46.12069210792408
213.26753987416575,-3.6109846699598167,46.505791717148234
209.42952183314333,-13.016541273622986,43.28610345600214
207.1914629048788,-11.218249208024233,47.752125431021106
205.6987445263926,-20.571146599018302,29.46361660470916
213.3486780025271,-10.857937680245142,50.6436205714754
199.58202303454343,-10.901560436844477,47.84481103200929
